Taxonomy,MetabolicCategory,FeedingType,Environment,FeedingMode,TrophicLevel,BodyWeight,Mobility
"Manguinea fusiformis","Primary producer",None,pelagic,None,1,1.97e-10,1
"Manguinea rigida","Primary producer",None,pelagic,None,1,9.1e-12,1
"Navicula glaciei","Primary producer",None,pelagic,None,1,2.26e-14,1
"Navicula schefterae","Primary producer",None,pelagic,None,1,2.26e-14,1
"Nitzschia kerguelensis","Primary producer",None,pelagic,None,1,5.73e-12,1
"Nitzschia lecointei","Primary producer",None,pelagic,None,1,4.63e-11,1
"Nitzschia neglecta","Primary producer",None,pelagic,None,1,9.11e-14,1
"Odontella weissflogii","Primary producer",None,pelagic,None,1,5.73e-12,1
"Porosira glacialis","Primary producer",None,pelagic,None,1,2.94e-11,1
"Porosira pseudodenticulata","Primary producer",None,pelagic,None,1,9.81e-11,1
"Proboscia alata","Primary producer",None,pelagic,None,1,1.51e-12,1
"Proboscia inermi","Primary producer",None,pelagic,None,1,9.94e-13,1
"Proboscia truncata","Primary producer",None,pelagic,None,1,1.21e-11,1
"Pseudo-Nitzschia heimii","Primary producer",None,pelagic,None,1,1.77e-10,1
"Pseudo-Nitzschia liniola","Primary producer",None,pelagic,None,1,8.13e-10,1
"Pseudo-Nitzschia prolongatoides","Primary producer",None,pelagic,None,1,3.74e-12,1
"Pseudo-Nitzschia subcurvata","Primary producer",None,pelagic,None,1,2.22e-10,1
"Rhizosolenia antennata","Primary producer",None,pelagic,None,1,7.78e-12,1
"Stellarima microtrias","Primary producer",None,pelagic,None,1,1.01e-10,1
"Thalassiosira antarctica","Primary producer",None,pelagic,None,1,1.14e-11,1
"Thalassiosira australis","Primary producer",None,pelagic,None,1,2.57e-12,1
"Thalassiosira frenguelliopsis","Primary producer",None,pelagic,None,1,3.54e-12,1
"Thalassiosira gracilis","Primary producer",None,pelagic,None,1,2.57e-12,1
"Thalassiosira gracilis expecta","Primary producer",None,pelagic,None,1,1.92e-11,1
"Thalassiosira gravida","Primary producer",None,pelagic,None,1,5.2e-12,1
"Thalassiosira lentiginosa","Primary producer",None,pelagic,None,1,6.35e-11,1
